AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code ,Council District,Total Units,Total Affordable Units,Total PSH Units ,Unit Type,Tenure,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Fee in Lieu Status,Calculated Fee In Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,RHDA ,OHDA,PA Bond ,CLT,DDB,ERC,MDA,MUD,MUDB,NBG,PUDDA,PUDDB,RNY,SMART,SMART-GF,TOD,UNO,VMU,VOL,2006 GO Bond ,2013 GO Bond,CDBG,HOME,HTF,CIP,UNO TF ,Total City Funding ,LIHTC ,Longitude,Latitude,Location
480,4626,The Community First Village,Community First! Village,Community First! Village,9301 Hog Eye Road,"78,724",,0,0,0,Single Family,Rental,Site Plan Approved,,,0,None,0,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,,,,,,,0,N/A,-97.62264,30.280899,"(30.280899, -97.62264)"
434,4580,Accessible Housing Austin! - SF,Accessoble Housing Austin!,Accessible Housing Austin!,9407 Kempler Drive,"78,748",5,2,2,0,Single Family,Rental,Project Completed,2016,2115,99,None,0,0,0,2,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,"153,500.00",0,0,0,0,"153,500.00",N/A,-97.822205,30.178196,"(30.178196, -97.822205)"
60,3327,Meadowood Apartments,San Antonio Alternative Housing Corporation,San Antonio Alternative Housing Corporation,9601 Middle Fiskville Road,"78,758",4,200,180,,Multifamily,Rental,Project Completed,2007,2027,20,None,,0,0,80,0,0,100,20,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,0,0,0,"147,500.00",0,0,"147,500.00",N/A,-97.68500093,30.35940944,"(30.35940944, -97.68500093)"
159,3540,Monarch at Lakeline Station,Mgroup Holdings,Mgroup,9821 N Lake Creek Parkway,"78,717",6,141,141,,Multifamily,Rental,Certified/Loan Executed,,,5,None,,14,0,56,71,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.78923968,30.4697458,"(30.4697458, -97.78923968)"
428,4542,Pathways at Chalmers Courts East,Housing Authority of the City of Austin,Housing Authority of the City of Austin,Corner of East 3rd and Chicon St,"78,702",3,156,135,0,Multifamily,Rental,Certified/Loan Executed,,,0,None,0,14,0,54,67,0,0,21,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,9%,-97.724506,30.26001,"(30.26001, -97.724506)"
591,5373,Legacy Ranch @ Dessau East,KCG Development LLC,KCG Development LLC,Dessau Rd at Fish Lane,"78,754",7,232,191,0,Multifamily,Rental,Application Received,,,0,None,0,0,14,0,171,0,14,33,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.638149,30.405762,"(30.405762, -97.638149)"
392,4186,Austin Oaks PUD,"Twelve Lakes, LLC","Twelve Lakes, LLC",Executive Center Drive and Woodhollow Drive,"78,759",10,250,27,,Multifamily,Rental,Certified/Loan Executed,,,0,None,0,0,0,0,27,0,0,223,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.746676,30.360076,"(30.360076, -97.746676)"
309,3825,Austin Gardens,Interlocal Investment,Interlocal Investment,Hudson St and Harold Court,"78,721",1,24,2,,Multifamily,Rental,Certified/Loan Executed,,,5,None,,0,0,0,0,0,2,22,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.677477,30.272109,"(30.272109, -97.677477)"
347,5490,"Muskin Company - Duplexes - Section 10 (RMMA MDA)
RMMA - MDA","Catellus Austin, LLC",Catellus Austin LLC,Multiple Addresses,"78,723",9,6,0,0,Duplex,Rental,Certified/Loan Executed,,,0,None,0,0,0,0,0,0,0,6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,0,N/A,-97.697802,30.295735,"(30.295735, -97.697802)"
307,3822,Easton Park (Pilot Knob PUD),Carma Easton LLC,Carma Easton LLC,Multiple Addresses,"78,744",2,"3,000",300,,Multifamily,Rental,Certified/Loan Executed,,,5,None,,0,0,0,300,0,0,"2,700",No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,,0,N/A,-97.721746,30.163553,"(30.163553, -97.721746)"
